file	rows	columns	content	figure6_use	source_ids
tables/IKM_group_scores_by_sample.csv	9648	6	Sample-level scores for 12 groups across 804 profiles, including organ and clustering identifiers.	A and C; interval reconstruction	TS;KANG;DEPMAP;NEXTGEN
tables/IKM_group_weight_all12.csv	12	3	Median absolute normalized CRISPR group score across seven arms and the number of arms outside their reference bands.	C lower axis	WATTERSON;ZHOU
tables/IKM_hela_pooled_vs_halves.csv	12	10	HeLa pooled-library group scores, reference bands and descriptive comparisons between the two library halves.	A; auxiliary library comparison	ZHOU
tables/IKM_ht29_interferon_axis_epistasis.csv	7	4	Rounded CRISPR enrichment percentiles for seven interferon-signaling genes in HT-29 and two JAK1-knockout clones.	Auxiliary gene-level comparison	WATTERSON
tables/IKM_ht29_pooled_by_group.csv	12	10	HT-29 wild-type and JAK1-knockout group scores under IFN-gamma, with reference bands and outside-band indicators.	A; auxiliary screen summaries	WATTERSON
tables/IKM_ht29_rnai_crossplatform.csv	34	12	The 34 published kinome siRNA candidates with rescue Z scores and relative viability, joined to HT-29 CRISPR enrichment statistics.	B	WOZNICKI;WATTERSON
tables/IKM_load_vs_error.csv	9	6	CRISPR effect magnitudes and absolute differences between model and tumor expression scores for nine cell-death groups. Differences are descriptive distances, not prediction errors.	Auxiliary comparison; no panel F in Figure 6	TS;KANG;DEPMAP;NEXTGEN;WATTERSON;ZHOU
tables/IKM_models_panoptosis_layers.csv	84	14	Twelve groups across seven CRISPR arms. Scores, reference bands, pooled-screen counts, sign agreement and correlation summaries are provided.	A middle block	WATTERSON;ZHOU
tables/IKM_models_vs_patient.csv	9	11	Descriptive differences between aggregate healthy, 3D or 2D scores and aggregate tumor scores for nine cell-death groups.	Auxiliary model comparison	TS;KANG;DEPMAP;NEXTGEN
tables/IKM_null_bands.csv	48	4	Empirical 95% reference ranges from 2000 random gene sets per group size, drawn from a fixed 200-gene pool. These are descriptive ranges.	A and C	TS;KANG;DEPMAP;NEXTGEN
tables/IKM_patel2017_group_overrepresentation.csv	12	6	Counts and fractions of group genes in the published candidate list. The historical filename does not denote an enrichment analysis; no new enrichment ratio, P value or FDR is reported.	A right block	PATEL
tables/IKM_patel2017_ranked_genes.csv	554	11	The 554 identifiers in the published ranked candidate list, with source screening statistics and group membership. Source RIGER P values are not new module-level tests.	Source of candidate-list overlap	PATEL
tables/IKM_random_gene_scores_by_sample.csv.gz	160800	6	Sample-level scores for 200 background genes across 804 profiles, used to reconstruct expression reference ranges.	A and C; reference-range reconstruction	TS;KANG;DEPMAP;NEXTGEN
tables/IKM_representation_in_band_units.csv	24	9	Tumor-minus-healthy and 3D-minus-2D contrasts divided by their reference-band half-widths, with outside-band and organ-consistency indicators.	A left block	TS;KANG;DEPMAP;NEXTGEN
tables/IKM_sensitivity_rank_scope.csv	48	5	Comparison of scores obtained from the common 18612-gene universe and from layer-specific transcriptome ranks.	Auxiliary ranking sensitivity	TS;KANG;DEPMAP;NEXTGEN
tables/IKM_single_cluster_strata.csv	1	4	Expression strata represented by one resampling cluster. The gastric tumor stratum contains one study and two profiles.	Bootstrap interpretation	KANG
tables/PROV_gene_axis_check.csv	14	5	Recorded checks of agreement between var and raw/var gene axes in input H5AD files.	Input provenance	TS;KANG
tables/PROV_healthy_layer_counts.csv	8	3	Recorded donor and epithelial-cell counts for eight source organs. Six organs enter Figure 6; prostate and skin do not.	Input provenance	TS
tables/PROV_input_file_hashes.csv	19	5	Original inventory of input-file names, byte counts and recorded SHA-256 hashes. Some files concern broader analyses and are not direct Figure 6 inputs.	Input provenance	TS;KANG;DEPMAP;NEXTGEN;ZHOU
tables/PROV_kang_primary_studies.csv	36	9	Thirty-six organ-by-dataset records representing 34 distinct studies. Accession or publication identifiers and URLs are taken from the matching source documentation.	Input provenance	KANG
tables/PROV_model_layers.csv	4	3	Profile and unique-identifier counts for all four expression layers. Tumor patient identifiers are qualified by study.	Cohort provenance	TS;KANG;DEPMAP;NEXTGEN
tables/PROV_model_sites.csv	553	7	The 553 retained culture models with anatomical site, OncoTree diagnosis and growth pattern.	Model selection provenance	DEPMAP;NEXTGEN
tables/PROV_patel2017_files.csv	7	4	Recorded names, byte counts, SHA-256 hashes and publisher URLs for seven supplementary files.	Input provenance	PATEL
tables/PROV_sample_identities.csv	804	3	Identifiers for 804 retained profiles. The bootstrap uses donor, study or model clusters; study-qualified patient IDs support cohort counting.	A and C; cohort provenance	TS;KANG;DEPMAP;NEXTGEN
tables/PROV_tabula_files.csv	8	2	Local names and organ mappings for eight Tabula Sapiens source files. Exact public asset identifiers are supplied separately in PROV_TABULA_ASSETS.tsv.	Input provenance	TS
tables/PROV_woznicki2021_files.csv	4	3	Recorded names, byte counts and SHA-256 hashes for four source files.	Input provenance	WOZNICKI
tables/gene_group_definitions.tsv	67	4	Exact 67-gene membership used in the analysis. Scientific names and functional qualifications are provided in GROUP_ANNOTATIONS.tsv.	A and C	Study-defined gene sets
tables/panoptosis_branch_mapping_2026-09-18.tsv	105	3	Historical mapping of the broader candidate panel to mechanistic categories. This is not a measured pathway activity or a list of the Figure 6 groups.	Background annotation	Recorded GO and manual annotations
tables/panoptosis_panel_2026-09-18.tsv	117	8	Broader candidate panel with 117 assignments for 108 genes. Historical coverage columns are retained as annotations; Figure 6 uses 67 genes.	Background annotation	Recorded GO and manual annotations
tables/panoptosis_panel_freeze_2026-09-18.json	not applicable	not applicable	Broader-panel membership and recorded timestamp, with scope restricted to supported annotation statements.	Background annotation	Recorded GO and manual annotations
tables/IKM_pgam5_sensitivity.csv	12	8	MLKL/PGAM5 sensitivity estimates and Monte Carlo reference bands. Pair values corrected to the plotted sample-first estimator; single-gene values retained.	Auxiliary sensitivity	TS;KANG;DEPMAP;NEXTGEN
tables/IKM_pgam5_sensitivity_arms.csv	8	5	Supplied pair and MLKL-only medians for four HT-29 screen configurations and three conditions.	Auxiliary sensitivity	WATTERSON
tables/IKM_pgam5_sensitivity_recomputed.csv	12	11	Full-precision sensitivity estimates with reconstructed Monte Carlo bands and exact empirical one-gene bands. Exact one-gene fields are not applicable to the pair.	Auxiliary sensitivity	TS;KANG;DEPMAP;NEXTGEN
tables/IKM_pgam5_reference_gene_scores.csv	800	3	All 200 single-gene reference scores in each of four expression layers; 800 rows.	Reference distribution	TS;KANG;DEPMAP;NEXTGEN
tables/IKM_pgam5_screen_gene_values.csv	8	6	Eight MLKL and PGAM5 rows extracted from the supplied HT-29 gene-level table. Values retain three-decimal source precision.	Sensitivity input	WATTERSON
tables/PROV_depmap_release_evidence.csv	4	8	Reported local file properties. Three used-file hashes agree with the prior input manifest; local timestamps do not establish official release dates.	Provenance	DEPMAP;NEXTGEN
tables/PROV_model_csv_version_check.csv	4	12	Reported comparison of four Model.csv downloads. Truncated hashes are explicitly called prefixes; full hashes are filled only where already recorded.	Provenance	DEPMAP
audit/self_exclusion_2026-09-21/self_exclusion_audit.tsv	1200	12	Gene by organ for the 200 background genes: self-inclusion before and after the correction, control counts, the control removed and the one that replaced it, and the rank gaps of each set.		
audit/self_exclusion_2026-09-21/reference_band_changes.tsv	48	11	All 48 reference bands under the released and the corrected selection rule, at full precision, with widths and changes.		
audit/self_exclusion_2026-09-21/representation_changes.tsv	24	17	The 24 normalised expression contrasts before and after the correction, in the released rounding convention, with outside-band status.	A expression	
audit/self_exclusion_2026-09-21/layer_classification_changes.tsv	72	8	Group-by-layer estimates and outside-band flags before and after the correction.	C expression	
audit/self_exclusion_2026-09-21/sensitivity_changes.tsv	12	24	The twelve MLKL/PGAM5 rows before and after the correction in both reference schemes, the retained size-two band and the one-gene Monte Carlo and exact-enumeration bands.		
audit/self_exclusion_2026-09-21/manuscript_value_changes.tsv	22	5	The validated manuscript values before and after the correction; two band limits move and no point estimate or interval does.		
audit/self_exclusion_2026-09-21/background_score_changes.tsv.gz	160800	8	Per background gene and profile: the released score, the corrected score and their difference.		
audit/self_exclusion_2026-09-21/control_assignments_baseline.tsv.gz	1200	6	The ordered control set of each background gene under the released rule, with its smallest and largest rank gap.		
audit/self_exclusion_2026-09-21/control_assignments_corrected.tsv.gz	1200	6	The same control sets after the scored gene is excluded from its own pool.		
audit/self_exclusion_2026-09-21/input_manifest.tsv	127	4	Every file the loaders open for the correction rebuild: 127 rows in 13 roles with a portable logical path, size and SHA-256. Enumerated through the selection rules of the calculation, not by directory glob.		
audit/self_exclusion_2026-09-21/analysed_gene_control_sets.tsv	402	8	The 67 analysed genes in all six anatomical sites: whether the control set is identical before and after the correction, self-inclusion counts and digests of both sets.		
